From	To
4896.SPAC20G8.07c-1	P87113
4896.SPAC20G8.09c-1	P87115
4896.SPAC20G8.10c-1	P87117
4896.SPAC20H4.01-1	Q9HE11
4896.SPAC20H4.03c-1	P49373
4896.SPAC20H4.05c-1	Q9HE08
4896.SPAC20H4.09-1	Q9HE06
4896.SPAC20H4.10-1	Q9HE05
4896.SPAC20H4.11c-1	Q9HE04
4896.SPAC21E11.03c-1	Q09926
4896.SPAC21E11.04-1	Q09927
4896.SPAC21E11.05c-1	Q09928
4896.SPAC21E11.06-1	Q09924
4896.SPAC21E11.07-1	Q09929
4896.SPAC21E11.08-1	Q09925
4896.SPAC222.03c-1	Q9UTE9
4896.SPAC222.06-1	Q9UTE6
4896.SPAC222.08c-1	Q9UTE4
4896.SPAC222.09-1	Q9UTE3
4896.SPAC222.10c-1	Q10951
4896.SPAC222.11-1	Q9UTE2
4896.SPAC222.12c-1	P22068
4896.SPAC222.13c-1	Q9UTE1
4896.SPAC222.14c-1	Q9UTE0
4896.SPAC227.05-1	Q9UTD4
4896.SPAC227.06-1	Q9UTD3
4896.SPAC227.07c-1	Q12702
4896.SPAC227.08c-1	Q9UTD1
4896.SPAC227.09-1	Q9UTD0
4896.SPAC227.10-1	Q9UTC9
4896.SPAC227.11c-1	Q9UTC8
4896.SPAC227.12-1	Q9UTC7
4896.SPAC227.13c-1	Q9UTC6
4896.SPAC227.14-1	Q9UTC5
4896.SPAC227.15-1	Q9UTC4
4896.SPAC227.18-1	Q09694
4896.SPAC22A12.05-1	O13896
4896.SPAC22A12.06c-1	O13897
4896.SPAC22A12.07c-1	O13898
4896.SPAC22A12.08c-1	O13899
4896.SPAC22A12.09c-1	O13900
4896.SPAC22A12.10-1	O13901
4896.SPAC22A12.11-1	O13902
4896.SPAC22A12.12c-1	O13903
4896.SPAC22A12.15c-1	P36604
4896.SPAC22A12.16-1	O13907
4896.SPAC22E12.01-1	Q10354
4896.SPAC22E12.02-1	Q10355
4896.SPAC22E12.03c-1	Q10356
4896.SPAC22E12.04-1	Q10357
4896.SPAC22E12.05c-1	Q10358
4896.SPAC22E12.06c-1	Q10359
4896.SPAC22E12.07-1	P41391
4896.SPAC22E12.09c-1	Q09175
4896.SPAC22E12.10c-1	Q10361
4896.SPAC22E12.11c-1	Q10362
4896.SPAC22E12.13c-1	Q10353
4896.SPAC22E12.14c-1	Q10364
4896.SPAC22E12.16c-1	Q10366
4896.SPAC22E12.17c-1	Q10367
4896.SPAC22E12.18-1	Q10368
4896.SPAC22F3.04-1	Q09773
4896.SPAC22F3.06c-1	Q09769
4896.SPAC22F3.07c-1	Q09774
4896.SPAC22F3.08c-1	Q09775
4896.SPAC22F3.09c-1	P41412
4896.SPAC22F3.10c-1	Q09768
4896.SPAC22F3.13-1	Q09778
4896.SPAC22F8.02c-1	Q9UUJ0
4896.SPAC22F8.04-1	Q9UUI8
4896.SPAC22F8.05-1	Q9UUI7
4896.SPAC22F8.06-1	Q9UQY2
4896.SPAC22F8.08-1	Q9UUI5
4896.SPAC22F8.09-1	Q9UUI4
4896.SPAC22F8.10c-1	Q9UUI3
4896.SPAC22F8.11-1	P40977
4896.SPAC22F8.12c-1	Q9UUI2
4896.SPAC22G7.01c-1	Q09795
4896.SPAC22G7.02-1	Q09796
4896.SPAC22G7.04-1	Q09798
4896.SPAC22G7.05-1	Q09799
4896.SPAC22G7.06c-1	Q09794
4896.SPAC22G7.09c-1	Q09793
4896.SPAC22G7.10-1	Q09801
4896.SPAC22H10.03c-1	Q10297
4896.SPAC22H10.05c-1	Q10299
4896.SPAC22H10.07-1	P40996
4896.SPAC22H10.08-1	Q10301
4896.SPAC22H10.12c-1	Q10305
4896.SPAC22H10.13-1	Q9UTC0
4896.SPAC22H12.01c-1	O94435
4896.SPAC22H12.02-1	O94436
4896.SPAC22H12.03-1	O94437
4896.SPAC22H12.04c-1	O94438
4896.SPAC22H12.05c-1	O94439
4896.SPAC23A1.02c-1	O42841
4896.SPAC23A1.03-1	O42842
4896.SPAC23A1.04c-1	O94726
4896.SPAC23A1.06c-1	O42844
4896.SPAC23A1.12c-1	O42849
4896.SPAC23A1.14c-1	O42851
4896.SPAC23A1.17-1	O42854
4896.SPAC23A1.18c-1	O42855
4896.SPAC23C11.03-1	O13910
4896.SPAC23C11.04c-1	O13911
4896.SPAC23C11.06c-1	O13912
4896.SPAC23C11.08-1	P36611
4896.SPAC23C11.09-1	O13914
4896.SPAC23C11.11-1	P40231
4896.SPAC23C11.13c-1	O13917
4896.SPAC23C11.14-1	O13918
4896.SPAC23C11.15-1	O13919
4896.SPAC23C11.16-1	P50528
4896.SPAC23C11.17-1	O13920
4896.SPAC23C4.02-1	O13923
4896.SPAC23C4.05c-1	O94559
4896.SPAC23C4.06c-1	O13926
4896.SPAC23C4.08-1	O13928
4896.SPAC23C4.09c-1	O13929
4896.SPAC23C4.11-1	O13931
4896.SPAC23C4.12-1	P40236
4896.SPAC23C4.14-1	O13933
4896.SPAC23C4.15-1	Q09191
4896.SPAC23C4.16c-1	O13934
4896.SPAC23C4.17-1	O13935
4896.SPAC23C4.19-1	O13936
4896.SPAC23D3.02-1	Q09843
4896.SPAC23D3.04c-1	Q09845
4896.SPAC23D3.06c-1	Q09847
4896.SPAC23D3.07-1	Q09841
4896.SPAC23D3.08-1	Q09848
4896.SPAC23D3.09-1	Q09849
4896.SPAC23D3.10c-1	Q09850
4896.SPAC23D3.11-1	Q09851
4896.SPAC23D3.12-1	Q09852
4896.SPAC23D3.13c-1	Q09853
4896.SPAC23E2.01-1	Q10134
4896.SPAC23E2.02-1	Q10135
4896.SPAC23G3.01-1	Q02061
4896.SPAC23G3.02c-1	Q9P7T1
4896.SPAC23G3.03-1	Q9P7T0
4896.SPAC23G3.04-1	Q9P7S9
4896.SPAC23G3.05c-1	Q9P7S8
4896.SPAC23G3.06-1	Q9P7S7
4896.SPAC23G3.07c-1	Q9P7S6
4896.SPAC23G3.08c-1	Q9P7S5
4896.SPAC23G3.09-1	Q9P7S4
4896.SPAC23G3.10c-1	Q9P7S3
4896.SPAC23G3.11-1	Q9P7S2
4896.SPAC23G3.12c-1	Q9P7S1
